id|state|city|zip|primary|something|county|area code
1|MI|Algonac|48001|1|42|Saint Clair|810
2|MI|Allenton|48002|1|42|Saint Clair|810
3|MI|Almont|48003|1|42|Lapeer|810
4|MI|Armada|48005|1|42|Macomb|586
5|MI|Avoca|48006|1|42|Saint Clair|810
6|MI|Birmingham|48009|1|42|Oakland|248
7|MI|Capac|48014|1|42|Saint Clair|248
8|MI|Center Line|48015|1|42|Macomb|586
9|MI|Clawson|48017|1|42|Oakland|248
10|MI|Eastpointe|48021|1|42|Macomb|586
11|MI|Emmett|48022|1|42|Saint Clair|810
12|MI|Fair Haven|48023|1|42|Saint Clair|810
13|MI|Franklin|48025|1|42|Oakland|248
14|MI|Fraser|48026|1|42|Macomb|586
15|MI|Goodells|48027|1|42|Saint Clair|810
16|MI|Harsens Island|48028|1|42|Saint Clair|810
17|MI|Hazel Park|48030|1|42|Oakland|248
18|MI|Jeddo|48032|1|42|Saint Clair|810
19|MI|Southfield|48033|1|42|Oakland|248
20|MI|Southfield|48034|1|42|Oakland|248/313/586/734
21|MI|Clinton Township|48035|1|42|Macomb|586
22|MI|Clinton Township|48036|1|42|Macomb|586
23|MI|Clinton Township|48038|1|42|Macomb|586
24|MI|Marine City|48039|1|42|Saint Clair|810
25|MI|Marysville|48040|1|42|Saint Clair|810
26|MI|Memphis|48041|1|42|Saint Clair|810
27|MI|Macomb|48042|1|42|Macomb|586
28|MI|Mount Clemens|48043|1|42|Macomb|586
29|MI|Macomb|48044|1|42|Macomb|586
30|MI|Harrison Township|48045|1|42|Macomb|586
31|MI|New Baltimore|48047|1|42|Macomb|586
32|MI|New Haven|48048|1|42|Macomb|586
33|MI|North Street|48049|1|42|Saint Clair|810
34|MI|New Haven|48050|1|42|Macomb|586
35|MI|New Baltimore|48051|1|42|Macomb|586
36|MI|East China|48054|1|42|Saint Clair|810
37|MI|Fort Gratiot|48059|1|42|Saint Clair|810
38|MI|Port Huron|48060|1|42|Saint Clair|810
39|MI|Richmond|48062|1|42|Macomb|586
40|MI|Columbus|48063|1|42|Saint Clair|810
41|MI|Casco|48064|1|42|Saint Clair|810
42|MI|Romeo|48065|1|42|Macomb|586
43|MI|Roseville|48066|1|42|Macomb|586
44|MI|Royal Oak|48067|1|42|Oakland|248
45|MI|Pleasant Ridge|48069|1|42|Oakland|248
46|MI|Huntington Woods|48070|1|42|Oakland|248
47|MI|Madison Heights|48071|1|42|Oakland|248
48|MI|Berkley|48072|1|42|Oakland|248
49|MI|Royal Oak|48073|1|42|Oakland|248
50|MI|Smiths Creek|48074|1|42|Saint Clair|810
51|MI|Southfield|48075|1|42|Oakland|248/313/586/734/810
52|MI|Southfield|48076|1|42|Oakland|248/313/586/734/810
